CommodityName,CommodityCode,CommodityGroupCode,CommodityGroupName
White Pumpkin,130,6,Vegetables
Wild Bean / Pod,541,2,Pulses
Wild Cucumber,542,6,Vegetables
Wild Garlic / Shoots,543,6,Vegetables
Wild Melon,544,5,Fruits
Wild Spinach,545,6,Vegetables
Wild lemon,427,5,Fruits
Wood,163,12,Forest Products
Wood Apple,428,5,Fruits
Wool,296,10,Others
Yam,201,10,Others
Yam Bean / Mexican Turnip(Bankla),546,6,Vegetables
Yam(Ratalu),248,6,Vegetables
balsam,411,14,Flowers
basil,364,11,Drug and Narcotics
buttery,345,2,Pulses
cineraria,396,14,Flowers
dhawai flowers,371,11,Drug and Narcotics
dianthus,405,14,Flowers
dried mango,352,7,Spices
golden rod,404,14,Flowers
gulli,390,12,Forest Products
gypsophila,398,14,Flowers
hydrangea,402,14,Flowers
kakatan,430,14,Flowers
karanja seeds,368,11,Drug and Narcotics
kokum,387,12,Forest Products
kutki,355,11,Drug and Narcotics
liquor turmeric,361,11,Drug and Narcotics
macoy,356,11,Drug and Narcotics
mango powder,351,7,Spices
nigella,353,7,Spices
nigella seeds,374,11,Drug and Narcotics
pippali,360,11,Drug and Narcotics
poppy seeds,350,7,Spices
salvia,397,14,Flowers
sanay,362,11,Drug and Narcotics
sevanti,393,14,Flowers
spikenard,384,12,Forest Products
stevia,369,11,Drug and Narcotics
stone pulverizer,359,11,Drug and Narcotics
sweet william,406,14,Flowers
tulip,392,14,Flowers
vadang,365,11,Drug and Narcotics
